86.353560	-6.846022	378.029682
-3.224844	-28.846595	412.542139
38.234540	-53.296616	427.950646
108.500534	14.873602	346.166335
-13.658643	-91.905416	451.003625
17.370661	-73.153069	404.864957
-64.537746	-36.198990	400.221229
-20.699214	-45.971568	418.891021
105.190052	17.971030	346.587995
-41.537333	-31.496037	391.385643
77.682579	-23.710053	431.807149
57.932009	43.318584	382.246330
-10.568961	25.939917	362.643049
-0.572580	-92.414174	413.868174
2.188206	-96.657810	398.689581
-14.607192	-32.303783	399.429292
107.137633	1.098497	362.361279
-17.850414	-77.938369	428.454486
61.017948	4.010681	396.719910
-0.777274	-31.358371	402.665036
43.847159	87.010232	349.741377
20.753486	81.854436	344.544483
84.499943	42.908781	390.019782
15.454258	-88.684648	423.894526
83.290521	5.726898	380.319658
14.140821	53.832567	331.171363
12.815486	-29.136630	405.004954
91.822830	29.122558	341.518158
50.358559	16.173655	385.089373
12.254577	-18.286254	397.732321
99.698314	-4.950996	373.299504
5.404244	-6.197894	400.100392
43.182480	-8.659249	349.786745
40.029312	1.116261	337.935649
-5.001473	-44.696841	410.236265
-4.269422	-5.529875	384.767448
58.773156	-3.929862	408.778744
79.466787	22.371344	374.790790
-101.134543	-17.052198	377.462546
99.709252	0.574309	415.872925
53.124459	87.860247	345.743271
55.042541	29.318888	390.687253
-14.348482	-85.941818	446.893178
-89.762615	-23.794276	379.719879
36.530820	73.275709	350.641253
-1.392353	-62.941291	409.117252
-82.860583	-13.037377	368.493829
-12.299183	-75.083283	416.226212
98.345226	-26.950981	368.488270
90.702683	29.477862	341.437330
95.292359	28.351056	390.327969
23.473599	-62.415847	429.800788
44.224155	-4.926824	352.630431
53.367291	18.893540	337.099561
81.478992	30.991758	332.065742
-43.473725	-59.848403	402.212633
-93.329298	-38.348439	393.600582
26.943107	46.300144	371.684761
43.332123	68.622288	361.638473
31.490319	71.454584	350.422973
-36.836306	-56.867725	384.770955
51.307554	20.472301	360.516460
25.927776	-22.149907	416.308177
4.344433	-21.005621	397.306863
-46.465328	-61.777094	388.826814
1.250083	38.757748	354.819442
64.803127	26.504753	359.676936
-12.569811	-32.893198	412.583801
109.742748	23.276349	409.967818
59.979053	29.461582	367.719880
-48.180328	-62.596305	422.106895
0.133618	-66.178999	438.049558
-76.433077	-54.672738	396.076752
-27.605777	32.834618	365.273843
70.178464	28.650376	349.553724
100.273211	36.674602	397.448979
77.613230	-19.782583	429.219643
-33.478662	-10.586557	392.102599
48.499007	3.235676	405.969700
68.055886	4.780795	400.376086
16.378795	35.592434	333.226359
50.444847	85.388284	352.645817
-44.031940	-46.517668	396.204290
17.730648	-40.869060	414.074981
-24.817095	-43.788406	383.242477
-10.909973	-59.184053	430.281312
96.191150	-3.939621	375.943122
50.724352	18.331214	378.265151
50.289477	4.840510	373.841668
76.764377	12.437895	407.858971
46.442603	9.256526	360.869631
-18.120338	-64.272718	419.408672
49.029507	56.146177	368.592401
2.153884	-83.882040	392.957690
9.768002	-27.438321	403.043720
-73.288902	-33.238830	395.835209
41.898708	-16.355941	351.344081
57.760779	69.988912	352.567656
61.860637	27.886918	343.308893
87.703961	38.049210	381.862867
-27.897189	-69.317803	432.187151
-0.513152	-76.196025	444.361842
10.212876	-5.821119	388.993203
-1.236943	48.539526	359.264922
109.179958	-2.266904	426.574614
44.425407	-1.121185	395.452764
7.951098	47.684003	365.476130
26.733409	-13.670409	410.978180
24.236464	62.674818	347.644546
64.984984	4.221907	388.714648
-16.540191	40.222995	351.385117
47.691459	-55.469096	432.014426
103.918171	14.322613	356.193287
-51.705078	-88.879420	426.184478
-19.101211	-61.083269	417.038616
-19.432595	-18.239455	401.050795
-44.167520	-7.047192	381.678796
50.379725	23.795142	392.999944
43.838358	10.020832	334.178865
107.114199	23.374814	396.876384
-4.700022	-77.450967	403.414502
